week,qn_number,qn_type,topic,stem,option,is_answer,num_response,qn_id
1,5,MC,ASRs,"A team of developers is working on a new e-commerce application. They have identified several requirements, including a high-performance search feature that will be used frequently by users, a policy that mandates the use of Microsoft Azure technology, and a standard login use case that verifies user credentials against a database. According to the definition of Architecturally Significant Requirements (ASRs), which of these requirements would NOT be considered an ASR?",None of the above requirements are ASRs.,False,5,qn5
1,6,MC,Cloud 1,"A large corporation is developing a new project that involves a cloud-based solution. Due to the sensitivity of the data involved, they decide to establish a cloud infrastructure that is exclusively for their own organization's use and is managed by their own IT department. However, for some non-sensitive tasks that require extensive computing resources, they choose to use a cloud infrastructure owned and operated by a third-party provider. This combination of infrastructures will allow them to balance between security needs and resource demands. According to NIST's definitions, what kind of cloud deployment model is this corporation using?",Public cloud,False,1,qn6
1,6,MC,Cloud 1,"A large corporation is developing a new project that involves a cloud-based solution. Due to the sensitivity of the data involved, they decide to establish a cloud infrastructure that is exclusively for their own organization's use and is managed by their own IT department. However, for some non-sensitive tasks that require extensive computing resources, they choose to use a cloud infrastructure owned and operated by a third-party provider. This combination of infrastructures will allow them to balance between security needs and resource demands. According to NIST's definitions, what kind of cloud deployment model is this corporation using?",Private cloud,False,8,qn6
1,6,MC,Cloud 1,"A large corporation is developing a new project that involves a cloud-based solution. Due to the sensitivity of the data involved, they decide to establish a cloud infrastructure that is exclusively for their own organization's use and is managed by their own IT department. However, for some non-sensitive tasks that require extensive computing resources, they choose to use a cloud infrastructure owned and operated by a third-party provider. This combination of infrastructures will allow them to balance between security needs and resource demands. According to NIST's definitions, what kind of cloud deployment model is this corporation using?",Community cloud,False,3,qn6
1,6,MC,Cloud 1,"A large corporation is developing a new project that involves a cloud-based solution. Due to the sensitivity of the data involved, they decide to establish a cloud infrastructure that is exclusively for their own organization's use and is managed by their own IT department. However, for some non-sensitive tasks that require extensive computing resources, they choose to use a cloud infrastructure owned and operated by a third-party provider. This combination of infrastructures will allow them to balance between security needs and resource demands. According to NIST's definitions, what kind of cloud deployment model is this corporation using?",Hybrid cloud,True,97,qn6
1,6,MC,Cloud 1,"A large corporation is developing a new project that involves a cloud-based solution. Due to the sensitivity of the data involved, they decide to establish a cloud infrastructure that is exclusively for their own organization's use and is managed by their own IT department. However, for some non-sensitive tasks that require extensive computing resources, they choose to use a cloud infrastructure owned and operated by a third-party provider. This combination of infrastructures will allow them to balance between security needs and resource demands. According to NIST's definitions, what kind of cloud deployment model is this corporation using?",Public Neutral Cloud,False,0,qn6
1,7,MC,Cloud 2,"A software development startup has a project where they need to deploy their own application using specific programming languages and tools. They do not want to manage or control the underlying network, servers, operating systems, or storage infrastructure, but they want control over the deployed applications and some configuration settings. Which Service Model of cloud computing according to NIST's definitions is the startup using?",Software as a Service (SaaS),False,4,qn7
1,7,MC,Cloud 2,"A software development startup has a project where they need to deploy their own application using specific programming languages and tools. They do not want to manage or control the underlying network, servers, operating systems, or storage infrastructure, but they want control over the deployed applications and some configuration settings. Which Service Model of cloud computing according to NIST's definitions is the startup using?",Private Cloud,False,0,qn7
1,7,MC,Cloud 2,"A software development startup has a project where they need to deploy their own application using specific programming languages and tools. They do not want to manage or control the underlying network, servers, operating systems, or storage infrastructure, but they want control over the deployed applications and some configuration settings. Which Service Model of cloud computing according to NIST's definitions is the startup using?",Infrastructure as a Service (IaaS),False,4,qn7
1,7,MC,Cloud 2,"A software development startup has a project where they need to deploy their own application using specific programming languages and tools. They do not want to manage or control the underlying network, servers, operating systems, or storage infrastructure, but they want control over the deployed applications and some configuration settings. Which Service Model of cloud computing according to NIST's definitions is the startup using?",Business Process as a Service (BPaaS),False,1,qn7
1,7,MC,Cloud 2,"A software development startup has a project where they need to deploy their own application using specific programming languages and tools. They do not want to manage or control the underlying network, servers, operating systems, or storage infrastructure, but they want control over the deployed applications and some configuration settings. Which Service Model of cloud computing according to NIST's definitions is the startup using?",Platform as a Service (PaaS),True,100,qn7
1,8,MC,AWS Security,"A company has recently transitioned their applications to the AWS Cloud based on IaaS. They decided AWS would handle the guest OS updates, security patches, security group configurations, and firewall settings, even though this was not communicated to AWS. Few weeks later, they encountered security problems with their applications. Based on the AWS shared responsibility model, what could be the most probable cause of these issues?",AWS has not provided sufficient physical security for their data centers.,False,0,qn8
1,8,MC,AWS Security,"A company has recently transitioned their applications to the AWS Cloud based on IaaS. They decided AWS would handle the guest OS updates, security patches, security group configurations, and firewall settings, even though this was not communicated to AWS. Few weeks later, they encountered security problems with their applications. Based on the AWS shared responsibility model, what could be the most probable cause of these issues?","The company neglected to execute necessary security configuration, patches and management tasks for their applications.",True,109,qn8
1,8,MC,AWS Security,"A company has recently transitioned their applications to the AWS Cloud based on IaaS. They decided AWS would handle the guest OS updates, security patches, security group configurations, and firewall settings, even though this was not communicated to AWS. Few weeks later, they encountered security problems with their applications. Based on the AWS shared responsibility model, what could be the most probable cause of these issues?",AWS has failed to effectively monitor their network at external boundaries.,False,0,qn8
1,8,MC,AWS Security,"A company has recently transitioned their applications to the AWS Cloud based on IaaS. They decided AWS would handle the guest OS updates, security patches, security group configurations, and firewall settings, even though this was not communicated to AWS. Few weeks later, they encountered security problems with their applications. Based on the AWS shared responsibility model, what could be the most probable cause of these issues?",The company failed to manage AWS's hardware infrastructure effectively.,False,0,qn8
1,8,MC,AWS Security,"A company has recently transitioned their applications to the AWS Cloud based on IaaS. They decided AWS would handle the guest OS updates, security patches, security group configurations, and firewall settings, even though this was not communicated to AWS. Few weeks later, they encountered security problems with their applications. Based on the AWS shared responsibility model, what could be the most probable cause of these issues?",AWS did not handle access rights for the company's content properly.,False,0,qn8
1,9,MC,Mixed Contexts,"Acme Corp has recently transitioned to a hybrid cloud model using AWS. They have identified a mission-critical application that requires rapid elasticity and high availability. However, they have not explicitly communicated with AWS about managing security configurations for this application. Based on the shared responsibility model and NIST's cloud computing definition, which of the following statements are true? (Choose the best answer!)",AWS is solely responsible for the security configurations of Acme Corp's application due to the application's mission-critical status.,False,0,qn9
1,9,MC,Mixed Contexts,"Acme Corp has recently transitioned to a hybrid cloud model using AWS. They have identified a mission-critical application that requires rapid elasticity and high availability. However, they have not explicitly communicated with AWS about managing security configurations for this application. Based on the shared responsibility model and NIST's cloud computing definition, which of the following statements are true? (Choose the best answer!)","AWS's responsibility is to ensure the underlying cloud infrastructure's security, while Acme Corp is responsible for the security configurations of their application.",True,105,qn9
1,9,MC,Mixed Contexts,"Acme Corp has recently transitioned to a hybrid cloud model using AWS. They have identified a mission-critical application that requires rapid elasticity and high availability. However, they have not explicitly communicated with AWS about managing security configurations for this application. Based on the shared responsibility model and NIST's cloud computing definition, which of the following statements are true? (Choose the best answer!)","Rapid elasticity characteristic of cloud computing automatically covers the application security configurations, hence no action is required from Acme Corp's end.",False,0,qn9
1,9,MC,Mixed Contexts,"Acme Corp has recently transitioned to a hybrid cloud model using AWS. They have identified a mission-critical application that requires rapid elasticity and high availability. However, they have not explicitly communicated with AWS about managing security configurations for this application. Based on the shared responsibility model and NIST's cloud computing definition, which of the following statements are true? (Choose the best answer!)","AWS is responsible for providing high availability and rapid elasticity for the application, but Acme Corp is not responsible for any security aspects.",False,1,qn9
1,9,MC,Mixed Contexts,"Acme Corp has recently transitioned to a hybrid cloud model using AWS. They have identified a mission-critical application that requires rapid elasticity and high availability. However, they have not explicitly communicated with AWS about managing security configurations for this application. Based on the shared responsibility model and NIST's cloud computing definition, which of the following statements are true? (Choose the best answer!)",Both AWS and Acme Corp share equal responsibilities for the security of the application.,False,3,qn9
1,10,MC,Mixed Contexts II,"Your company is planning a major overhaul of its internal systems and is considering a transition to AWS Cloud. They have identified an Architecturally Significant Requirement (ASR) to support a highly trafficked feature that requires end-to-end architecture components. They want to use the cloud's ability to scale based on customer demand but are also concerned about their responsibilities related to security. The company wants to handle system architecture and security configurations themselves but would like to leave as much as possible to AWS. Considering the essential characteristics, service models, deployment models of the cloud and the shared responsibility model, which is the most appropriate approach?","The company should use the Infrastructure as a Service (IaaS) model, focus on Rapid Elasticity, and assume responsibility for both the application-level security and guest OS updates and security patches.",True,67,qn10
1,10,MC,Mixed Contexts II,"Your company is planning a major overhaul of its internal systems and is considering a transition to AWS Cloud. They have identified an Architecturally Significant Requirement (ASR) to support a highly trafficked feature that requires end-to-end architecture components. They want to use the cloud's ability to scale based on customer demand but are also concerned about their responsibilities related to security. The company wants to handle system architecture and security configurations themselves but would like to leave as much as possible to AWS. Considering the essential characteristics, service models, deployment models of the cloud and the shared responsibility model, which is the most appropriate approach?","The company should use the Software as a Service (SaaS) model, rely on On-demand self-service, and leave everything, including security settings, to AWS.",False,8,qn10
1,10,MC,Mixed Contexts II,"Your company is planning a major overhaul of its internal systems and is considering a transition to AWS Cloud. They have identified an Architecturally Significant Requirement (ASR) to support a highly trafficked feature that requires end-to-end architecture components. They want to use the cloud's ability to scale based on customer demand but are also concerned about their responsibilities related to security. The company wants to handle system architecture and security configurations themselves but would like to leave as much as possible to AWS. Considering the essential characteristics, service models, deployment models of the cloud and the shared responsibility model, which is the most appropriate approach?","The company should use the Platform as a Service (PaaS) model, concentrate on Resource Pooling, and share security responsibilities with AWS, where AWS handle application-level security.",False,23,qn10
1,10,MC,Mixed Contexts II,"Your company is planning a major overhaul of its internal systems and is considering a transition to AWS Cloud. They have identified an Architecturally Significant Requirement (ASR) to support a highly trafficked feature that requires end-to-end architecture components. They want to use the cloud's ability to scale based on customer demand but are also concerned about their responsibilities related to security. The company wants to handle system architecture and security configurations themselves but would like to leave as much as possible to AWS. Considering the essential characteristics, service models, deployment models of the cloud and the shared responsibility model, which is the most appropriate approach?","The company should go for a Hybrid Cloud Deployment model, utilize Measured Service, and let AWS manage all aspects of security, while the company solely focuses on architectural decisions.",False,7,qn10
1,10,MC,Mixed Contexts II,"Your company is planning a major overhaul of its internal systems and is considering a transition to AWS Cloud. They have identified an Architecturally Significant Requirement (ASR) to support a highly trafficked feature that requires end-to-end architecture components. They want to use the cloud's ability to scale based on customer demand but are also concerned about their responsibilities related to security. The company wants to handle system architecture and security configurations themselves but would like to leave as much as possible to AWS. Considering the essential characteristics, service models, deployment models of the cloud and the shared responsibility model, which is the most appropriate approach?","The company should choose a Private Cloud deployment model, focus on Broad Network Access, and AWS handling security group and firewall configurations.",False,4,qn10
2,1,MC,CPU Process State,"Suppose you are designing a Unix-based system that involves child process interaction. You encounter a situation where one child process depends on the output of another child process. Taking into account the process model of Unix and the process states, how would the system behave when executing the command cat file1 file2 | grep stuff?","The grep process, depending on the cat process, will continuously check if the cat process has completed, and then start its operation.",False,7,qn11
2,1,MC,CPU Process State,"Suppose you are designing a Unix-based system that involves child process interaction. You encounter a situation where one child process depends on the output of another child process. Taking into account the process model of Unix and the process states, how would the system behave when executing the command cat file1 file2 | grep stuff?","The cat process and grep process will run simultaneously with shared memory space, stack, and program counter values.",False,6,qn11
2,1,MC,CPU Process State,"Suppose you are designing a Unix-based system that involves child process interaction. You encounter a situation where one child process depends on the output of another child process. Taking into account the process model of Unix and the process states, how would the system behave when executing the command cat file1 file2 | grep stuff?",The grep process will initiate execution simultaneously with the cat process and wait for an interrupt signal indicating that the cat process has finished execution.,False,12,qn11
2,1,MC,CPU Process State,"Suppose you are designing a Unix-based system that involves child process interaction. You encounter a situation where one child process depends on the output of another child process. Taking into account the process model of Unix and the process states, how would the system behave when executing the command cat file1 file2 | grep stuff?","The grep process will put itself into a blocked state, waiting for the cat process to finish, and will be awakened when the required input is available.",True,79,qn11
2,1,MC,CPU Process State,"Suppose you are designing a Unix-based system that involves child process interaction. You encounter a situation where one child process depends on the output of another child process. Taking into account the process model of Unix and the process states, how would the system behave when executing the command cat file1 file2 | grep stuff?","The cat process will delay its execution until the grep process completes, to ensure proper data flow.",False,5,qn11
2,2,MC,Virtualisation,"Consider three different deployment models for large-scale application deployment: virtual machines, containers, and unikernels. Which of the following statements best describe these models?",Virtual machines run multiple operating systems on shared hardware,True,103,qn12
2,2,MC,Virtualisation,"Consider three different deployment models for large-scale application deployment: virtual machines, containers, and unikernels. Which of the following statements best describe these models?",Virtual machines and containers use the kernel of the host OS while sideloading app-specific libraries and programs. Unikernels run multiple operating systems on shared hardware.,False,1,qn12
2,2,MC,Virtualisation,"Consider three different deployment models for large-scale application deployment: virtual machines, containers, and unikernels. Which of the following statements best describe these models?","Virtual machines, containers, and unikernels all run multiple operating systems on shared hardware and require a hypervisor.",False,0,qn12
2,2,MC,Virtualisation,"Consider three different deployment models for large-scale application deployment: virtual machines, containers, and unikernels. Which of the following statements best describe these models?",Unikernels run multiple operating systems on shared hardware. Virtual machines and containers use the kernel of the host OS while sideloading app-specific libraries and programs.,False,0,qn12
2,2,MC,Virtualisation,"Consider three different deployment models for large-scale application deployment: virtual machines, containers, and unikernels. Which of the following statements best describe these models?",Containers run multiple operating systems on shared hardware. Virtual machines use the kernel of the host OS. Unikernels require an operating system and manage everything through pre-built binary libraries.,False,5,qn12
2,3,MC,Layered,"In a layered software architecture, which statement accurately describes the difference between an open layer and a closed layer?","An open layer can be accessed directly by any layer, while a closed layer can only be accessed by the layer directly above it.",False,15,qn13
2,3,MC,Layered,"In a layered software architecture, which statement accurately describes the difference between an open layer and a closed layer?","An open layer can be bypassed, while a closed layer cannot be bypassed and must be traversed for higher layers to access lower ones.",True,93,qn13
2,3,MC,Layered,"In a layered software architecture, which statement accurately describes the difference between an open layer and a closed layer?","An open layer cannot be bypassed, while a closed layer can be bypassed and does not need to be traversed for higher layers to access lower ones.",False,1,qn13
2,3,MC,Layered,"In a layered software architecture, which statement accurately describes the difference between an open layer and a closed layer?","Both open and closed layers can be bypassed, the only difference is in their placement in the architecture.",False,0,qn13
2,4,MC,MultiTenant,What best describes the Isolated Tenancy (Shared Nothing) model in multitenancy?,Multiple tenants share a common instance of a DBMS or another data store.,False,0,qn14
2,4,MC,MultiTenant,What best describes the Isolated Tenancy (Shared Nothing) model in multitenancy?,"Each tenant has its own dedicated VMs, but they are allocated from a shared pool of hardware servers.",False,8,qn14
2,4,MC,MultiTenant,What best describes the Isolated Tenancy (Shared Nothing) model in multitenancy?,"Each tenant has its own dedicated stack of underlying technology; nothing in the stack, from the hardware up, is shared.",True,100,qn14
2,4,MC,MultiTenant,What best describes the Isolated Tenancy (Shared Nothing) model in multitenancy?,"Multiple tenants share one instance of an application container, operating in its own internal address and control space.",False,1,qn14
2,5,MC,TCP Connection,What set of values uniquely distinguishes one TCP connection from another in HTTP communications?,The IP address of the client and the port number of the server.,False,4,qn15
2,5,MC,TCP Connection,What set of values uniquely distinguishes one TCP connection from another in HTTP communications?,The IP address of the server and the port number of the client.,False,6,qn15
2,5,MC,TCP Connection,What set of values uniquely distinguishes one TCP connection from another in HTTP communications?,"The source IP address, source port, destination IP address, and destination port.",True,90,qn15
2,5,MC,TCP Connection,What set of values uniquely distinguishes one TCP connection from another in HTTP communications?,The source IP address and destination IP address.,False,3,qn15
2,5,MC,TCP Connection,What set of values uniquely distinguishes one TCP connection from another in HTTP communications?,The source and destination port numbers.,False,6,qn15
2,6,MC,Socket,Which sequence correctly illustrates the typical flow of events in a connection-oriented socket in server-side socket programming?,listen() -> bind() -> socket() -> accept() -> send()/recv() -> close(),False,5,qn16
2,6,MC,Socket,Which sequence correctly illustrates the typical flow of events in a connection-oriented socket in server-side socket programming?,socket() -> accept() -> bind() -> listen() -> send()/recv() -> close(),False,8,qn16
2,6,MC,Socket,Which sequence correctly illustrates the typical flow of events in a connection-oriented socket in server-side socket programming?,socket() -> bind() -> listen() -> accept() -> send()/recv() -> close(),True,93,qn16
2,6,MC,Socket,Which sequence correctly illustrates the typical flow of events in a connection-oriented socket in server-side socket programming?,bind() -> socket() -> listen() -> accept() -> send()/recv() -> close(),False,3,qn16
2,7,MC,Socket II,"In the context of a web application employing a layered architectural style, how does socket programming facilitate communication?","Socket programming allows the web application to have direct control over the transmission control protocol/internet protocol (TCP/IP), establishing a point-to-point connection between two machines for data exchange.",True,93,qn17
2,7,MC,Socket II,"In the context of a web application employing a layered architectural style, how does socket programming facilitate communication?","Socket programming is a method of routing HTTP requests to the appropriate layer in the web application architecture, similar to how a URL router functions.",False,14,qn17
2,7,MC,Socket II,"In the context of a web application employing a layered architectural style, how does socket programming facilitate communication?","Socket programming is used to implement the user interface layer of a web application, determining how data is displayed to the user.",False,0,qn17
2,7,MC,Socket II,"In the context of a web application employing a layered architectural style, how does socket programming facilitate communication?",Socket programming involves creating multiple virtual machines on the server to handle requests from different users simultaneously.,False,2,qn17
2,7,MC,Socket II,"In the context of a web application employing a layered architectural style, how does socket programming facilitate communication?",Socket programming is a database management technique used to organize and retrieve data in the data access layer of a web application.,False,0,qn17
2,8,MC,Proxy,What is the main difference between a forward proxy and a reverse proxy server? internal refers to machines within the organisation's network.external refers to machines on the internet,A forward proxy server sits in front of a group of internal client machines and communicates with internet web servers on their behalf,True,97,qn18
2,8,MC,Proxy,What is the main difference between a forward proxy and a reverse proxy server? internal refers to machines within the organisation's network.external refers to machines on the internet,A forward proxy server sits in front of internal web servers and forwards internet client requests to those servers,False,10,qn18
2,8,MC,Proxy,What is the main difference between a forward proxy and a reverse proxy server? internal refers to machines within the organisation's network.external refers to machines on the internet,A forward proxy server and a reverse proxy server both sit in front of a group of internal client machines and communicate with internet web servers on their behalf.,False,2,qn18
2,8,MC,Proxy,What is the main difference between a forward proxy and a reverse proxy server? internal refers to machines within the organisation's network.external refers to machines on the internet,A forward proxy server and a reverse proxy server both sit in front of internal web servers and forward internet client requests to those servers.,False,0,qn18
2,9,MC,Air Gap,What is the primary purpose of implementing an air gap in network security?,To allow for more efficient data transmission between various networks.,False,3,qn19
2,9,MC,Air Gap,What is the primary purpose of implementing an air gap in network security?,"To physically isolate a secure computer network from unsecured networks, thereby preventing the transmission of malware.",True,105,qn19
2,9,MC,Air Gap,What is the primary purpose of implementing an air gap in network security?,To enable seamless integration between secured and unsecured networks.,False,1,qn19
2,9,MC,Air Gap,What is the primary purpose of implementing an air gap in network security?,To allow for unsecured networks to gain access to secured networks for better interoperability.,False,0,qn19
2,10,MC,Networking,"What sequence of events accurately describes the process when Bob, a user, attempts to access www.google.com from his laptop connected to his school's network?","Bob's laptop sends a DNS request for www.google.com to the DNS server. Upon receiving the IP address, his laptop initiates a TCP handshake with www.google.com. ",True,97,qn20
2,10,MC,Networking,"What sequence of events accurately describes the process when Bob, a user, attempts to access www.google.com from his laptop connected to his school's network?","Bob's laptop sends an HTTP GET request directly to www.google.com, the server responds with the IP address of the website, and using this IP address, Bob's laptop downloads the webpage.",False,0,qn20
2,10,MC,Networking,"What sequence of events accurately describes the process when Bob, a user, attempts to access www.google.com from his laptop connected to his school's network?","Bob's laptop establishes a direct communication with the IP address of www.google.com to download the webpage, bypassing the need for any DNS query or HTTP GET request.",False,1,qn20
2,10,MC,Networking,"What sequence of events accurately describes the process when Bob, a user, attempts to access www.google.com from his laptop connected to his school's network?","Bob's laptop sends a DNS request to www.google.com, the website responds with the webpage data directly, eliminating the need for establishing any TCP connection or sending an HTTP GET request.",False,1,qn20
2,10,MC,Networking,"What sequence of events accurately describes the process when Bob, a user, attempts to access www.google.com from his laptop connected to his school's network?","Bob's laptop first connects to the DHCP server, which provides the IP address of www.google.com, after which the laptop sends an HTTP GET request directly to the IP address to fetch the webpage.",False,10,qn20
3,2,MC,Risk Management Concepts,"In an organization, a critical system stores sensitive user data and has an outdated security patch that could potentially be exploited by hackers. The system administrators have been informed about this, but they have not yet updated the security patch. Which of the following best describes this situation from a risk management perspective?",There is no risk since the system administrators have been informed about the outdated security patch.,False,0,qn22
3,2,MC,Risk Management Concepts,"In an organization, a critical system stores sensitive user data and has an outdated security patch that could potentially be exploited by hackers. The system administrators have been informed about this, but they have not yet updated the security patch. Which of the following best describes this situation from a risk management perspective?",There is a risk that is a product of the threat (potential hacker attack) and the vulnerability (outdated security patch).,True,106,qn22
3,2,MC,Risk Management Concepts,"In an organization, a critical system stores sensitive user data and has an outdated security patch that could potentially be exploited by hackers. The system administrators have been informed about this, but they have not yet updated the security patch. Which of the following best describes this situation from a risk management perspective?","There is a threat, but no vulnerability, hence no risk exists.",False,0,qn22
3,2,MC,Risk Management Concepts,"In an organization, a critical system stores sensitive user data and has an outdated security patch that could potentially be exploited by hackers. The system administrators have been informed about this, but they have not yet updated the security patch. Which of the following best describes this situation from a risk management perspective?","There is a vulnerability but no threat, hence no risk exists.",False,1,qn22
3,2,MC,Risk Management Concepts,"In an organization, a critical system stores sensitive user data and has an outdated security patch that could potentially be exploited by hackers. The system administrators have been informed about this, but they have not yet updated the security patch. Which of the following best describes this situation from a risk management perspective?",The risk can be completely eliminated once the system administrators update the security patch.,False,2,qn22
3,3,MC,SQL Injection,"A small business has an online store that processes payments. During a routine check, the company's IT team discovers that their web application is not properly sanitizing user-supplied data. The application uses dynamic SQL queries without context-aware escaping. Given this scenario, which of the following statements is correct? Choose one best answer!",The application is potentially vulnerable to an injection attack because it is an online store.,False,1,qn23
3,3,MC,SQL Injection,"A small business has an online store that processes payments. During a routine check, the company's IT team discovers that their web application is not properly sanitizing user-supplied data. The application uses dynamic SQL queries without context-aware escaping. Given this scenario, which of the following statements is correct? Choose one best answer!","The application is potentially vulnerable to an injection attack due to the use of user-supplied data that is not properly validated, filtered, or sanitized.",True,107,qn23
3,3,MC,SQL Injection,"A small business has an online store that processes payments. During a routine check, the company's IT team discovers that their web application is not properly sanitizing user-supplied data. The application uses dynamic SQL queries without context-aware escaping. Given this scenario, which of the following statements is correct? Choose one best answer!",The application is safe from injection attacks because it uses dynamic SQL queries.,False,1,qn23
3,3,MC,SQL Injection,"A small business has an online store that processes payments. During a routine check, the company's IT team discovers that their web application is not properly sanitizing user-supplied data. The application uses dynamic SQL queries without context-aware escaping. Given this scenario, which of the following statements is correct? Choose one best answer!","As long as the business uses a reputable payment processor, they don't need to worry about SQL injections.",False,0,qn23
3,3,MC,SQL Injection,"A small business has an online store that processes payments. During a routine check, the company's IT team discovers that their web application is not properly sanitizing user-supplied data. The application uses dynamic SQL queries without context-aware escaping. Given this scenario, which of the following statements is correct? Choose one best answer!",The application is not vulnerable because injection flaws only occur with static SQL queries.,False,0,qn23
3,4,MC,Cross Site Request Forgery,"You are the cybersecurity lead at an e-commerce firm. You notice that while the website has robust defenses against many types of attacks, it doesn't have a specific defense against Cross-Site Request Forgery (CSRF) attacks. As part of strengthening the site's security, you're considering measures to prevent CSRF attacks. Which of the following should you consider implementing?",Using GET requests for all state changing operations to keep the method uniform across the application.,False,2,qn24
3,4,MC,Cross Site Request Forgery,"You are the cybersecurity lead at an e-commerce firm. You notice that while the website has robust defenses against many types of attacks, it doesn't have a specific defense against Cross-Site Request Forgery (CSRF) attacks. As part of strengthening the site's security, you're considering measures to prevent CSRF attacks. Which of the following should you consider implementing?","Introducing CSRF tokens to all state changing requests and validating them on the backend, even though the framework does not have built-in CSRF protection.",True,87,qn24
3,4,MC,Cross Site Request Forgery,"You are the cybersecurity lead at an e-commerce firm. You notice that while the website has robust defenses against many types of attacks, it doesn't have a specific defense against Cross-Site Request Forgery (CSRF) attacks. As part of strengthening the site's security, you're considering measures to prevent CSRF attacks. Which of the following should you consider implementing?",Using SameSite Cookie Attribute for session cookies and setting a cookie specifically for a domain to share across all subdomains that may or may not be controlled by you.,False,20,qn24
